: mse-abbreviations
lc;liquid crystal;sem;scanning electron microscopy
cholesteric liquid crystal;clc;time-dependent density functional theory;tddft
clc;cholesteric liquid crystal;hplc;high performance liquid chromatography
cholesteric liquid crystal;clc;high performance liquid chromatography;hplc
clc;cholesteric liquid crystal;pdi;polydispersity index
cholesteric liquid crystal;clc;polydispersity index;pdi
clc;cholesteric liquid crystal;tg;glass transition temperature
cholesteric liquid crystal;clc;glass transition temperature;tg
clc;cholesteric liquid crystal;tm;melting temperature
cholesteric liquid crystal;clc;melting temperature;tm
clc;cholesteric liquid crystal;tc;crystallization temperature
cholesteric liquid crystal;clc;crystallization temperature;tc
clc;cholesteric liquid crystal;fib;focused ion beam
cholesteric liquid crystal;clc;focused ion beam;fib
clc;cholesteric liquid crystal;ea;activation energy
cholesteric liquid crystal;clc;activation energy;ea
clc;cholesteric liquid crystal;ip;ionization potential
cholesteric liquid crystal;clc;ionization potential;ip
clc;cholesteric liquid crystal;icp;inductively coupled plasma
cholesteric liquid crystal;clc;inductively coupled plasma;icp
clc;cholesteric liquid crystal;oes;optical emission spectroscopy
cholesteric liquid crystal;clc;optical emission spectroscopy;oes
clc;cholesteric liquid crystal;xrf;x-ray fluorescence
cholesteric liquid crystal;clc;x-ray fluorescence;xrf
clc;cholesteric liquid crystal;epma;electron probe microanalysis
cholesteric liquid crystal;clc;electron probe microanalysis;epma
ms;mass spectroscopy;dft;density functional theory
mass spectroscopy;ms;density functional theory;dft
ms;mass spectroscopy;kmc;kinetic monte carlo
mass spectroscopy;ms;kinetic monte carlo;kmc
ms;mass spectroscopy;gc;gas chromatography
mass spectroscopy;ms;gas chromatography;gc
ms;mass spectroscopy;lda;local density approximation
mass spectroscopy;ms;local density approximation;lda
ms;mass spectroscopy;gga;generalized gradient approximation
mass spectroscopy;ms;generalized gradient approximation;gga
ms;mass spectroscopy;md;molecular dynamics
mass spectroscopy;ms;molecular dynamics;md
ms;mass spectroscopy;sls;static light scattering
mass spectroscopy;ms;static light scattering;sls
ms;mass spectroscopy;dls;dynamic light scattering
mass spectroscopy;ms;dynamic light scattering;dls
ms;mass spectroscopy;xps;x-ray photoelectron spectroscopy
mass spectroscopy;ms;x-ray photoelectron spectroscopy;xps
ms;mass spectroscopy;edx;energy dispersive x-ray spectroscopy
mass spectroscopy;ms;energy dispersive x-ray spectroscopy;edx
ms;mass spectroscopy;saxs;small-angle x-ray scattering
mass spectroscopy;ms;small-angle x-ray scattering;saxs
ms;mass spectroscopy;waxs;wide-angle x-ray scattering
mass spectroscopy;ms;wide-angle x-ray scattering;waxs
ms;mass spectroscopy;waxd;wide-angle x-ray diffraction
mass spectroscopy;ms;wide-angle x-ray diffraction;waxd
ms;mass spectroscopy;xrd;x-ray diffraction
mass spectroscopy;ms;x-ray diffraction;xrd
ms;mass spectroscopy;pals;positron annihilation lifetime spectroscopy
mass spectroscopy;ms;positron annihilation lifetime spectroscopy;pals
ms;mass spectroscopy;tddft;time-dependent density functional theory
mass spectroscopy;ms;time-dependent density functional theory;tddft
ms;mass spectroscopy;hplc;high performance liquid chromatography
mass spectroscopy;ms;high performance liquid chromatography;hplc
ms;mass spectroscopy;pdi;polydispersity index
mass spectroscopy;ms;polydispersity index;pdi
ms;mass spectroscopy;tg;glass transition temperature
mass spectroscopy;ms;glass transition temperature;tg
ms;mass spectroscopy;tm;melting temperature
mass spectroscopy;ms;melting temperature;tm
ms;mass spectroscopy;tc;crystallization temperature
mass spectroscopy;ms;crystallization temperature;tc
ms;mass spectroscopy;fib;focused ion beam
mass spectroscopy;ms;focused ion beam;fib
ms;mass spectroscopy;ea;activation energy
mass spectroscopy;ms;activation energy;ea
ms;mass spectroscopy;ip;ionization potential
mass spectroscopy;ms;ionization potential;ip
ms;mass spectroscopy;icp;inductively coupled plasma
mass spectroscopy;ms;inductively coupled plasma;icp
ms;mass spectroscopy;oes;optical emission spectroscopy
mass spectroscopy;ms;optical emission spectroscopy;oes
ms;mass spectroscopy;xrf;x-ray fluorescence
mass spectroscopy;ms;x-ray fluorescence;xrf
ms;mass spectroscopy;epma;electron probe microanalysis
mass spectroscopy;ms;electron probe microanalysis;epma
dft;density functional theory;kmc;kinetic monte carlo
density functional theory;dft;kinetic monte carlo;kmc
dft;density functional theory;gc;gas chromatography
density functional theory;dft;gas chromatography;gc
dft;density functional theory;lda;local density approximation
density functional theory;dft;local density approximation;lda
dft;density functional theory;gga;generalized gradient approximation
density functional theory;dft;generalized gradient approximation;gga
dft;density functional theory;md;molecular dynamics
density functional theory;dft;molecular dynamics;md
dft;density functional theory;sls;static light scattering
density functional theory;dft;static light scattering;sls
dft;density functional theory;dls;dynamic light scattering
density functional theory;dft;dynamic light scattering;dls
dft;density functional theory;xps;x-ray photoelectron spectroscopy
density functional theory;dft;x-ray photoelectron spectroscopy;xps
dft;density functional theory;edx;energy dispersive x-ray spectroscopy
density functional theory;dft;energy dispersive x-ray spectroscopy;edx
dft;density functional theory;saxs;small-angle x-ray scattering
density functional theory;dft;small-angle x-ray scattering;saxs
dft;density functional theory;waxs;wide-angle x-ray scattering
density functional theory;dft;wide-angle x-ray scattering;waxs
dft;density functional theory;waxd;wide-angle x-ray diffraction
density functional theory;dft;wide-angle x-ray diffraction;waxd
dft;density functional theory;xrd;x-ray diffraction
density functional theory;dft;x-ray diffraction;xrd
dft;density functional theory;pals;positron annihilation lifetime spectroscopy
density functional theory;dft;positron annihilation lifetime spectroscopy;pals
dft;density functional theory;tddft;time-dependent density functional theory
density functional theory;dft;time-dependent density functional theory;tddft
dft;density functional theory;hplc;high performance liquid chromatography
density functional theory;dft;high performance liquid chromatography;hplc
dft;density functional theory;pdi;polydispersity index
density functional theory;dft;polydispersity index;pdi
dft;density functional theory;tg;glass transition temperature
density functional theory;dft;glass transition temperature;tg
dft;density functional theory;tm;melting temperature
density functional theory;dft;melting temperature;tm
dft;density functional theory;tc;crystallization temperature
density functional theory;dft;crystallization temperature;tc
dft;density functional theory;fib;focused ion beam
density functional theory;dft;focused ion beam;fib
dft;density functional theory;ea;activation energy
density functional theory;dft;activation energy;ea
dft;density functional theory;ip;ionization potential
density functional theory;dft;ionization potential;ip
dft;density functional theory;icp;inductively coupled plasma
density functional theory;dft;inductively coupled plasma;icp
dft;density functional theory;oes;optical emission spectroscopy
density functional theory;dft;optical emission spectroscopy;oes
dft;density functional theory;xrf;x-ray fluorescence
density functional theory;dft;x-ray fluorescence;xrf
dft;density functional theory;epma;electron probe microanalysis
density functional theory;dft;electron probe microanalysis;epma
kmc;kinetic monte carlo;gc;gas chromatography
kinetic monte carlo;kmc;gas chromatography;gc
kmc;kinetic monte carlo;lda;local density approximation
kinetic monte carlo;kmc;local density approximation;lda
kmc;kinetic monte carlo;gga;generalized gradient approximation
kinetic monte carlo;kmc;generalized gradient approximation;gga
kmc;kinetic monte carlo;md;molecular dynamics
kinetic monte carlo;kmc;molecular dynamics;md
kmc;kinetic monte carlo;sls;static light scattering
kinetic monte carlo;kmc;static light scattering;sls
kmc;kinetic monte carlo;dls;dynamic light scattering
kinetic monte carlo;kmc;dynamic light scattering;dls
kmc;kinetic monte carlo;xps;x-ray photoelectron spectroscopy
kinetic monte carlo;kmc;x-ray photoelectron spectroscopy;xps
kmc;kinetic monte carlo;edx;energy dispersive x-ray spectroscopy
kinetic monte carlo;kmc;energy dispersive x-ray spectroscopy;edx
kmc;kinetic monte carlo;saxs;small-angle x-ray scattering
kinetic monte carlo;kmc;small-angle x-ray scattering;saxs
kmc;kinetic monte carlo;waxs;wide-angle x-ray scattering
kinetic monte carlo;kmc;wide-angle x-ray scattering;waxs
kmc;kinetic monte carlo;waxd;wide-angle x-ray diffraction
kinetic monte carlo;kmc;wide-angle x-ray diffraction;waxd
kmc;kinetic monte carlo;xrd;x-ray diffraction
kinetic monte carlo;kmc;x-ray diffraction;xrd
kmc;kinetic monte carlo;pals;positron annihilation lifetime spectroscopy
kinetic monte carlo;kmc;positron annihilation lifetime spectroscopy;pals
kmc;kinetic monte carlo;tddft;time-dependent density functional theory
kinetic monte carlo;kmc;time-dependent density functional theory;tddft
kmc;kinetic monte carlo;hplc;high performance liquid chromatography
kinetic monte carlo;kmc;high performance liquid chromatography;hplc
kmc;kinetic monte carlo;pdi;polydispersity index
kinetic monte carlo;kmc;polydispersity index;pdi
kmc;kinetic monte carlo;tg;glass transition temperature
kinetic monte carlo;kmc;glass transition temperature;tg
kmc;kinetic monte carlo;tm;melting temperature
kinetic monte carlo;kmc;melting temperature;tm
kmc;kinetic monte carlo;tc;crystallization temperature
kinetic monte carlo;kmc;crystallization temperature;tc
kmc;kinetic monte carlo;fib;focused ion beam
kinetic monte carlo;kmc;focused ion beam;fib
kmc;kinetic monte carlo;ea;activation energy
kinetic monte carlo;kmc;activation energy;ea
kmc;kinetic monte carlo;ip;ionization potential
kinetic monte carlo;kmc;ionization potential;ip
kmc;kinetic monte carlo;icp;inductively coupled plasma
kinetic monte carlo;kmc;inductively coupled plasma;icp
kmc;kinetic monte carlo;oes;optical emission spectroscopy
kinetic monte carlo;kmc;optical emission spectroscopy;oes
kmc;kinetic monte carlo;xrf;x-ray fluorescence
kinetic monte carlo;kmc;x-ray fluorescence;xrf
kmc;kinetic monte carlo;epma;electron probe microanalysis
kinetic monte carlo;kmc;electron probe microanalysis;epma
gc;gas chromatography;lda;local density approximation
gas chromatography;gc;local density approximation;lda
gc;gas chromatography;gga;generalized gradient approximation
gas chromatography;gc;generalized gradient approximation;gga
gc;gas chromatography;md;molecular dynamics
gas chromatography;gc;molecular dynamics;md
gc;gas chromatography;sls;static light scattering
gas chromatography;gc;static light scattering;sls
gc;gas chromatography;dls;dynamic light scattering
gas chromatography;gc;dynamic light scattering;dls
gc;gas chromatography;xps;x-ray photoelectron spectroscopy
gas chromatography;gc;x-ray photoelectron spectroscopy;xps
gc;gas chromatography;edx;energy dispersive x-ray spectroscopy
gas chromatography;gc;energy dispersive x-ray spectroscopy;edx
gc;gas chromatography;saxs;small-angle x-ray scattering
gas chromatography;gc;small-angle x-ray scattering;saxs
gc;gas chromatography;waxs;wide-angle x-ray scattering
gas chromatography;gc;wide-angle x-ray scattering;waxs
gc;gas chromatography;waxd;wide-angle x-ray diffraction
gas chromatography;gc;wide-angle x-ray diffraction;waxd
gc;gas chromatography;xrd;x-ray diffraction
gas chromatography;gc;x-ray diffraction;xrd
gc;gas chromatography;pals;positron annihilation lifetime spectroscopy
gas chromatography;gc;positron annihilation lifetime spectroscopy;pals
gc;gas chromatography;tddft;time-dependent density functional theory
gas chromatography;gc;time-dependent density functional theory;tddft
gc;gas chromatography;hplc;high performance liquid chromatography
gas chromatography;gc;high performance liquid chromatography;hplc
gc;gas chromatography;pdi;polydispersity index
gas chromatography;gc;polydispersity index;pdi
gc;gas chromatography;tg;glass transition temperature
gas chromatography;gc;glass transition temperature;tg
gc;gas chromatography;tm;melting temperature
gas chromatography;gc;melting temperature;tm
gc;gas chromatography;tc;crystallization temperature
gas chromatography;gc;crystallization temperature;tc
gc;gas chromatography;fib;focused ion beam
gas chromatography;gc;focused ion beam;fib
gc;gas chromatography;ea;activation energy
gas chromatography;gc;activation energy;ea
gc;gas chromatography;ip;ionization potential
gas chromatography;gc;ionization potential;ip
gc;gas chromatography;icp;inductively coupled plasma
gas chromatography;gc;inductively coupled plasma;icp
gc;gas chromatography;oes;optical emission spectroscopy
gas chromatography;gc;optical emission spectroscopy;oes
gc;gas chromatography;xrf;x-ray fluorescence
gas chromatography;gc;x-ray fluorescence;xrf
gc;gas chromatography;epma;electron probe microanalysis
gas chromatography;gc;electron probe microanalysis;epma
lda;local density approximation;gga;generalized gradient approximation
local density approximation;lda;generalized gradient approximation;gga
lda;local density approximation;md;molecular dynamics
local density approximation;lda;molecular dynamics;md
lda;local density approximation;sls;static light scattering
local density approximation;lda;static light scattering;sls
lda;local density approximation;dls;dynamic light scattering
local density approximation;lda;dynamic light scattering;dls
lda;local density approximation;xps;x-ray photoelectron spectroscopy
local density approximation;lda;x-ray photoelectron spectroscopy;xps
lda;local density approximation;edx;energy dispersive x-ray spectroscopy
local density approximation;lda;energy dispersive x-ray spectroscopy;edx
lda;local density approximation;saxs;small-angle x-ray scattering
local density approximation;lda;small-angle x-ray scattering;saxs
lda;local density approximation;waxs;wide-angle x-ray scattering
local density approximation;lda;wide-angle x-ray scattering;waxs
lda;local density approximation;waxd;wide-angle x-ray diffraction
local density approximation;lda;wide-angle x-ray diffraction;waxd
lda;local density approximation;xrd;x-ray diffraction
local density approximation;lda;x-ray diffraction;xrd
lda;local density approximation;pals;positron annihilation lifetime spectroscopy
local density approximation;lda;positron annihilation lifetime spectroscopy;pals
lda;local density approximation;tddft;time-dependent density functional theory
local density approximation;lda;time-dependent density functional theory;tddft
lda;local density approximation;hplc;high performance liquid chromatography
local density approximation;lda;high performance liquid chromatography;hplc
lda;local density approximation;pdi;polydispersity index
local density approximation;lda;polydispersity index;pdi
lda;local density approximation;tg;glass transition temperature
local density approximation;lda;glass transition temperature;tg
lda;local density approximation;tm;melting temperature
local density approximation;lda;melting temperature;tm
lda;local density approximation;tc;crystallization temperature
